iter	Logloss
0	0.6831449114
1	0.6730710386
2	0.6634302493
3	0.6546572685
4	0.6466191563
5	0.6395803123
6	0.6316972459
7	0.6250199497
8	0.6183106523
9	0.6121731913
10	0.6059076173
11	0.599570897
12	0.5945911008
13	0.5896812039
14	0.5848668149
15	0.5800201823
16	0.5755751427
17	0.571062523
18	0.5675870994
19	0.5638724719
20	0.5605335064
21	0.5569460207
22	0.5539072052
23	0.5510589235
24	0.5485053093
25	0.5459917223
26	0.543481403
27	0.5409000027
28	0.5386343277
29	0.5366771208
30	0.5345789448
31	0.5325538211
32	0.5307564835
33	0.528780047
34	0.5272476322
35	0.5256457817
36	0.5242479713
37	0.5226442412
38	0.5213794422
39	0.5198487954
40	0.5184817903
41	0.5172280074
42	0.5159904189
43	0.5147674907
44	0.5134826878
45	0.5122442604
46	0.5112283075
47	0.5101885453
48	0.5091407288
49	0.5082226584
50	0.5074773704
51	0.5067009446
52	0.5059838393
53	0.5051581923
54	0.5041700148
55	0.5033363012
56	0.5025608836
57	0.5018958343
58	0.5010594916
59	0.5002039875
60	0.4993467937
61	0.498901571
62	0.498062364
63	0.4974825157
64	0.496801651
65	0.4961516392
66	0.4957521073
67	0.4953728374
68	0.4947683193
69	0.4943257085
70	0.4938125147
71	0.4933357866
72	0.4929239489
73	0.4923078234
74	0.4918653578
75	0.4913473102
76	0.4909208367
77	0.4905849949
78	0.4901507592
79	0.489785065
80	0.4893408093
81	0.4889099324
82	0.4884393096
83	0.4880425995
84	0.4877117595
85	0.4873984452
86	0.4870972281
87	0.4868872498
88	0.4864296983
89	0.4861727543
90	0.4857839985
91	0.4854409902
92	0.4850166851
93	0.4846308546
94	0.4842951384
95	0.4840169616
96	0.4836113557
97	0.4832780954
98	0.4828393364
99	0.4824346428
100	0.4821158858
101	0.4817788047
102	0.4814775616
103	0.4812183675
104	0.4809288552
105	0.480634726
106	0.4803438561
107	0.4801734246
108	0.4799723461
109	0.4797201785
110	0.4795034717
111	0.4793201254
112	0.4791685711
113	0.478833363
114	0.4786115813
115	0.4782049995
116	0.4778899155
117	0.4776819438
118	0.4774070266
119	0.477105405
120	0.4767965659
121	0.4766752307
122	0.4764502936
123	0.4762261984
124	0.4758826009
125	0.4756770754
126	0.4754771998
127	0.4753467655
128	0.4751593601
129	0.4748655836
130	0.4746984756
131	0.4745624377
132	0.474425756
133	0.474077796
134	0.4738805364
135	0.4736899452
136	0.4735798294
137	0.4733083241
138	0.4730123149
139	0.472941987
140	0.4727581911
141	0.4725222811
142	0.4722950897
143	0.4719693294
144	0.4716641823
145	0.4715719508
146	0.4713987744
147	0.4711137735
148	0.4709617361
149	0.4706779742
150	0.4705029858
151	0.4703727333
152	0.4702216791
153	0.4700451568
154	0.4698709497
155	0.4697574954
156	0.4696425747
157	0.4695595066
158	0.4693571082
159	0.4692510908
160	0.4689452278
161	0.4688674722
162	0.4687083165
163	0.4686494995
164	0.4685725098
165	0.4683230998
166	0.4680630993
167	0.4679154216
168	0.4677867628
169	0.4674620558
170	0.4672873502
171	0.4671142499
172	0.4668949837
173	0.4668290462
174	0.466757241
175	0.4666353547
176	0.4664066273
177	0.4662072406
178	0.4661037783
179	0.4658500163
180	0.4657753376
181	0.4656932565
182	0.4655810342
183	0.4654370702
184	0.4653213129
185	0.4651264827
186	0.4650153816
187	0.4648490583
188	0.4647464648
189	0.4646308587
190	0.464424786
191	0.464340781
192	0.464162208
193	0.4640534426
194	0.4639697074
195	0.463894707
196	0.4638456322
197	0.4637596651
198	0.4636480895
199	0.4636047482
200	0.4634601606
201	0.4633519155
202	0.463143166
203	0.4629510381
204	0.4627848399
205	0.4626283252
206	0.4625529337
