iter	Passed	Remaining
401	9600	14281
402	9616	14245
403	9631	14208
404	9650	14177
405	9663	14138
406	9681	14105
407	9699	14074
408	9716	14040
409	9732	14005
410	9751	13974
411	9768	13941
412	9786	13909
413	9805	13879
414	9826	13851
415	9849	13827
416	9867	13795
417	9887	13766
418	9914	13747
419	9935	13719
420	9950	13684
421	9964	13647
422	9986	13622
423	10001	13587
424	10032	13573
425	10051	13543
426	10066	13508
427	10085	13479
428	10098	13441
429	10116	13410
430	10132	13377
431	10157	13355
432	10179	13330
433	10196	13297
434	10221	13276
435	10244	13252
436	10272	13234
437	10294	13209
438	10312	13178
439	10329	13146
440	10355	13126
441	10382	13107
442	10410	13089
443	10425	13055
444	10460	13046
445	10478	13016
446	10491	12979
447	10512	12953
448	10532	12924
449	10552	12897
450	10571	12869
451	10595	12845
452	10616	12819
453	10629	12783
454	10647	12753
455	10675	12736
456	10711	12727
457	10739	12709
458	10757	12679
459	10775	12649
460	10799	12626
461	10814	12593
462	10833	12565
463	10849	12533
464	10867	12503
465	10886	12474
466	10910	12451
467	10931	12426
468	10945	12392
469	10965	12365
470	10982	12334
471	11002	12308
472	11021	12279
473	11038	12250
474	11055	12219
475	11072	12188
476	11095	12166
477	11117	12141
478	11135	12112
479	11155	12084
480	11179	12062
481	11196	12032
482	11211	12000
483	11232	11975
484	11248	11944
485	11268	11918
486	11295	11898
487	11314	11871
488	11333	11843
489	11351	11814
490	11369	11785
491	11399	11770
492	11416	11740
493	11434	11712
494	11458	11689
495	11473	11658
496	11489	11628
497	11505	11597
498	11518	11564
499	11536	11536
500	11557	11511
501	11573	11481
502	11606	11467
503	11627	11443
504	11645	11415
505	11671	11394
506	11695	11372
507	11721	11352
508	11739	11324
509	11759	11298
510	11778	11271
511	11807	11254
512	11829	11229
513	11856	11210
514	11879	11187
515	11900	11162
516	11927	11142
517	11954	11123
518	11975	11098
519	11993	11070
520	12013	11045
521	12034	11019
522	12056	10995
523	12083	10976
524	12104	10951
525	12134	10935
526	12156	10911
527	12186	10894
528	12217	10877
529	12249	10862
530	12282	10848
531	12315	10833
532	12364	10833
533	12402	10822
534	12439	10811
535	12468	10794
536	12488	10767
537	12522	10753
538	12552	10736
539	12582	10718
540	12622	10708
541	12651	10690
542	12672	10665
543	12698	10644
544	12729	10627
545	12749	10601
546	12769	10574
547	12786	10546
548	12803	10518
549	12822	10491
550	12835	10459
551	12851	10430
552	12867	10400
553	12884	10372
554	12902	10344
555	12919	10317
556	12935	10288
557	12951	10258
558	12965	10228
559	12984	10201
560	12996	10170
561	13012	10141
562	13027	10112
563	13046	10085
564	13061	10056
565	13077	10027
566	13092	9998
567	13109	9970
568	13123	9940
569	13139	9912
570	13154	9882
571	13169	9854
572	13183	9824
573	13195	9793
574	13212	9765
575	13227	9737
576	13244	9709
577	13259	9680
578	13276	9653
579	13296	9628
580	13316	9603
581	13336	9578
582	13358	9555
583	13384	9534
584	13401	9506
585	13426	9485
586	13452	9465
587	13468	9437
588	13482	9408
589	13497	9379
590	13513	9351
591	13526	9322
592	13546	9297
593	13558	9267
594	13575	9240
595	13589	9211
596	13605	9184
597	13625	9159
598	13644	9134
599	13662	9108
600	13682	9083
601	13703	9059
602	13716	9030
603	13733	9004
604	13752	8979
605	13769	8952
606	13785	8925
607	13802	8898
608	13824	8876
609	13837	8846
610	13853	8820
611	13868	8792
612	13884	8765
613	13900	8739
614	13916	8711
615	13933	8685
616	13948	8658
617	13965	8632
618	13980	8605
619	14001	8581
620	14016	8554
621	14033	8528
622	14048	8501
623	14065	8475
624	14079	8447
625	14095	8421
626	14114	8396
627	14132	8371
628	14147	8344
629	14163	8318
630	14178	8291
631	14194	8265
632	14213	8240
633	14231	8215
634	14246	8188
635	14261	8162
636	14283	8139
637	14302	8115
638	14323	8091
639	14340	8066
640	14358	8041
641	14374	8015
642	14395	7992
643	14420	7971
644	14435	7945
645	14461	7924
646	14480	7900
647	14513	7884
648	14532	7859
649	14553	7836
650	14575	7814
651	14600	7793
652	14621	7769
653	14638	7744
654	14655	7719
655	14669	7692
656	14685	7666
657	14700	7640
658	14719	7616
659	14733	7590
660	14751	7565
661	14770	7541
662	14791	7518
663	14806	7492
664	14825	7468
665	14837	7441
666	14859	7418
667	14872	7391
668	14891	7367
669	14905	7341
670	14921	7316
671	14943	7293
672	14954	7266
673	14968	7239
674	14989	7217
675	15003	7191
676	15020	7166
677	15036	7141
678	15055	7117
679	15070	7092
680	15093	7070
681	15118	7049
682	15139	7026
683	15162	7004
684	15182	6981
685	15204	6959
686	15224	6936
687	15242	6912
688	15259	6887
689	15278	6864
690	15294	6839
691	15313	6815
692	15339	6795
693	15359	6772
694	15378	6749
695	15396	6724
696	15413	6700
697	15428	6675
698	15444	6650
699	15458	6624
700	15474	6600
701	15488	6575
702	15505	6550
703	15516	6524
704	15535	6500
705	15549	6475
706	15561	6449
707	15576	6424
708	15594	6400
709	15614	6377
710	15626	6351
711	15641	6327
712	15661	6304
713	15681	6281
714	15702	6259
715	15717	6234
716	15735	6210
717	15749	6185
718	15763	6160
719	15777	6135
720	15790	6110
721	15804	6085
722	15819	6060
723	15834	6036
724	15849	6011
725	15864	5987
726	15879	5962
727	15897	5939
728	15911	5914
729	15923	5889
730	15938	5865
731	15952	5840
732	15970	5817
733	15984	5792
734	16000	5768
735	16013	5743
736	16028	5719
737	16043	5695
738	16059	5671
739	16071	5646
740	16083	5621
741	16098	5597
742	16112	5573
743	16128	5549
744	16141	5524
745	16154	5500
746	16167	5475
747	16180	5451
748	16196	5427
749	16211	5403
750	16227	5380
751	16241	5356
752	16259	5333
753	16277	5310
754	16301	5289
755	16314	5265
756	16331	5242
757	16345	5218
758	16364	5195
759	16379	5172
760	16395	5149
761	16410	5125
762	16426	5102
763	16440	5078
764	16457	5055
765	16470	5031
766	16486	5008
767	16500	4984
768	16516	4961
769	16534	4938
770	16551	4915
771	16565	4892
772	16586	4870
773	16602	4847
774	16618	4824
775	16636	4802
776	16652	4779
777	16667	4755
778	16683	4733
779	16699	4709
780	16717	4687
781	16733	4664
782	16749	4642
783	16768	4619
784	16784	4597
785	16803	4574
786	16819	4552
787	16832	4528
788	16847	4505
789	16861	4482
790	16873	4458
791	16888	4435
792	16901	4411
793	16917	4389
794	16932	4366
795	16950	4344
796	16965	4321
797	16981	4298
798	16994	4275
799	17007	4251
800	17020	4228
801	17034	4205
802	17048	4182
803	17062	4159
804	17077	4136
805	17091	4113
